Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdateCo2,1768056907.107096,59,0,1
1,UpdateCFP,1768056907.107159,843,0,1
1,UpdateCFP,1768056907.108010,1089,0,1
1,UpdateCFP,1768056907.109108,1454,0,1
2,UpdateCo2,1768056907.110581,98,0,1
1,UpdateCFP,1768056907.110685,1034,0,1
1,UpdateCFP,1768056907.111728,1011,0,1
1,UpdateCFP,1768056907.112748,1147,0,1
2,UpdateCo2,1768056907.113912,63,0,1
1,UpdateCFP,1768056907.113979,933,0,1
2,UpdateCo2,1768056907.114921,66,0,1
1,UpdateCFP,1768056907.114992,1043,0,1
2,UpdateCo2,1768056907.116046,65,0,1
2,UpdateCo2,1768056907.116116,60,0,1
2,UpdateCo2,1768056907.116181,62,0,1
2,UpdateCo2,1768056907.116248,72,0,1
1,UpdateCFP,1768056907.116324,2809,0,1
1,UpdateCFP,1768056907.119155,1572,0,1
1,UpdateCFP,1768056907.120761,1539,0,1
2,UpdateCo2,1768056907.122315,77,0,1
2,UpdateCo2,1768056907.122397,62,0,1
1,UpdateCFP,1768056907.122464,1421,0,1
2,UpdateCo2,1768056907.123918,213,0,1
1,UpdateCFP,1768056907.124152,1428,0,1
2,UpdateCo2,1768056907.125610,206,0,1
1,UpdateCFP,1768056907.125835,889,0,1
2,UpdateCo2,1768056907.126735,66,0,1
2,UpdateCo2,1768056907.126807,59,0,1
1,UpdateCFP,1768056907.126870,1018,0,1
1,UpdateCFP,1768056907.127899,1057,0,1
1,UpdateCFP,1768056907.128967,1108,0,1
1,UpdateCFP,1768056907.130088,1236,0,1
2,UpdateCo2,1768056907.131337,80,0,1
2,UpdateCo2,1768056907.131423,70,0,1
2,UpdateCo2,1768056907.131498,67,0,1
1,UpdateCFP,1768056907.131569,1017,0,1
2,UpdateCo2,1768056907.132597,61,0,1
1,UpdateCFP,1768056907.132663,1084,0,1
1,UpdateCFP,1768056907.133759,1327,0,1
2,UpdateCo2,1768056907.135099,69,0,1
1,UpdateCFP,1768056907.135173,1540,0,1
2,UpdateCo2,1768056907.136747,175,0,1
1,UpdateCFP,1768056907.136929,802,0,1
2,UpdateCo2,1768056907.137742,66,0,1
1,UpdateCFP,1768056907.137813,1010,0,1
1,UpdateCFP,1768056907.138834,1054,0,1
2,UpdateCo2,1768056907.139899,64,0,1
2,UpdateCo2,1768056907.139970,64,0,1
2,UpdateCo2,1768056907.140038,62,0,1
2,UpdateCo2,1768056907.140104,60,0,1
2,UpdateCo2,1768056907.140186,78,0,1
2,UpdateCo2,1768056907.140270,69,0,1
2,UpdateCo2,1768056907.140342,70,0,1
2,UpdateCo2,1768056907.140415,61,0,1
1,UpdateCFP,1768056907.140479,890,0,1
2,UpdateCo2,1768056907.141384,68,0,1
2,UpdateCo2,1768056907.141456,60,0,1
1,UpdateCFP,1768056907.141520,846,0,1
1,UpdateCFP,1768056907.142378,828,0,1
2,UpdateCo2,1768056907.143217,78,0,1
2,UpdateCo2,1768056907.143319,64,0,1
2,UpdateCo2,1768056907.143388,68,0,1
2,UpdateCo2,1768056907.143472,71,0,1
2,UpdateCo2,1768056907.143547,66,0,1
2,UpdateCo2,1768056907.143619,64,0,1
2,UpdateCo2,1768056907.143686,73,0,1
1,UpdateCFP,1768056907.143764,764,0,1
1,UpdateCFP,1768056907.144568,1216,0,1
1,UpdateCFP,1768056907.145796,1115,0,1
2,UpdateCo2,1768056907.146922,68,0,1
2,UpdateCo2,1768056907.146994,59,0,1
1,UpdateCFP,1768056907.147056,1051,0,1
1,UpdateCFP,1768056907.148118,886,0,1
1,UpdateCFP,1768056907.149034,876,0,1
2,UpdateCo2,1768056907.149939,70,0,1
1,UpdateCFP,1768056907.150068,913,0,1
2,UpdateCo2,1768056907.151000,67,0,1
1,UpdateCFP,1768056907.151072,1035,0,1
1,UpdateCFP,1768056907.152150,1080,0,1
1,UpdateCFP,1768056907.153246,964,0,1
2,UpdateCo2,1768056907.154235,86,0,1
1,UpdateCFP,1768056907.154327,1177,0,1
1,UpdateCFP,1768056907.155528,915,0,1
1,UpdateCFP,1768056907.156451,920,0,1
1,UpdateCFP,1768056907.157378,859,0,1
2,UpdateCo2,1768056907.158244,69,0,1
1,UpdateCFP,1768056907.158316,905,0,1
2,UpdateCo2,1768056907.159228,76,0,1
2,UpdateCo2,1768056907.159307,61,0,1
1,UpdateCFP,1768056907.159371,1049,0,1
1,UpdateCFP,1768056907.160428,840,0,1
2,UpdateCo2,1768056907.161274,64,0,1
2,UpdateCo2,1768056907.161341,68,0,1
2,UpdateCo2,1768056907.161411,59,0,1
1,UpdateCFP,1768056907.161473,942,0,1
1,UpdateCFP,1768056907.162422,888,0,1
2,UpdateCo2,1768056907.163317,66,0,1
1,UpdateCFP,1768056907.163387,917,0,1
1,UpdateCFP,1768056907.164310,1252,0,1
2,UpdateCo2,1768056907.165571,62,0,1
2,UpdateCo2,1768056907.165637,66,0,1
1,UpdateCFP,1768056907.165705,1248,0,1
2,UpdateCo2,1768056907.166971,190,0,1
2,UpdateCo2,1768056907.167169,123,0,1
1,UpdateCFP,1768056907.167296,1351,0,1
1,UpdateCFP,1768056907.168654,1023,0,1
2,UpdateCo2,1768056907.169684,60,0,1
1,UpdateCFP,1768056907.169746,1189,0,1
2,UpdateCo2,1768056907.170942,69,0,1
2,UpdateCo2,1768056907.171015,75,0,1
2,UpdateCo2,1768056907.171093,83,0,1
1,UpdateCFP,1768056907.171181,1066,0,1
2,UpdateCo2,1768056907.172254,75,0,1
2,UpdateCo2,1768056907.172331,59,0,1
2,UpdateCo2,1768056907.172392,63,0,1
1,UpdateCFP,1768056907.172457,1353,0,1
2,UpdateCo2,1768056907.173816,61,0,1
1,UpdateCFP,1768056907.173879,979,0,1
2,UpdateCo2,1768056907.174865,68,0,1
1,UpdateCFP,1768056907.174936,1113,0,1
2,UpdateCo2,1768056907.176056,60,0,1
2,UpdateCo2,1768056907.176119,63,0,1
1,UpdateCFP,1768056907.176184,1810,0,1
1,UpdateCFP,1768056907.178010,1768,0,1
2,UpdateCo2,1768056907.179786,66,0,1
1,UpdateCFP,1768056907.179855,1237,0,1
1,UpdateCFP,1768056907.181099,1569,0,1
1,UpdateCFP,1768056907.182676,1206,0,1
2,UpdateCo2,1768056907.183890,82,0,1
2,UpdateCo2,1768056907.183977,63,0,1
2,UpdateCo2,1768056907.184043,64,0,1
2,UpdateCo2,1768056907.184109,63,0,1
2,UpdateCo2,1768056907.184174,73,0,1
2,UpdateCo2,1768056907.184251,79,0,1
1,UpdateCFP,1768056907.184332,1947,0,1
1,UpdateCFP,1768056907.186287,1671,0,1
1,UpdateCFP,1768056907.187966,1591,0,1
1,UpdateCFP,1768056907.189567,1277,0,1
2,UpdateCo2,1768056907.190851,69,0,1
2,UpdateCo2,1768056907.190924,61,0,1
1,UpdateCFP,1768056907.190987,1809,0,1
2,UpdateCo2,1768056907.192804,71,0,1
2,UpdateCo2,1768056907.192878,70,0,1
1,UpdateCFP,1768056907.192951,1689,0,1
1,UpdateCFP,1768056907.194647,1457,0,1
2,UpdateCo2,1768056907.196112,65,0,1
2,UpdateCo2,1768056907.196180,68,0,1
2,UpdateCo2,1768056907.196251,71,0,1
2,UpdateCo2,1768056907.196325,66,0,1
1,UpdateCFP,1768056907.196392,1502,0,1
1,UpdateCFP,1768056907.197901,1393,0,1
1,UpdateCFP,1768056907.199302,1368,0,1
1,UpdateCFP,1768056907.200678,1526,0,1
2,UpdateCo2,1768056907.202212,79,0,1
2,UpdateCo2,1768056907.202295,66,0,1
2,UpdateCo2,1768056907.202363,62,0,1
1,UpdateCFP,1768056907.202426,1416,0,1
1,UpdateCFP,1768056907.203848,1032,0,1
1,UpdateCFP,1768056907.204887,1775,0,1
1,UpdateCFP,1768056907.206673,1108,0,1
1,UpdateCFP,1768056907.207789,1113,0,1
2,UpdateCo2,1768056907.208911,68,0,1
1,UpdateCFP,1768056907.208982,1171,0,1
1,UpdateCFP,1768056907.210161,1156,0,1
1,UpdateCFP,1768056907.211326,1048,0,1
1,UpdateCFP,1768056907.212382,1290,0,1
1,UpdateCFP,1768056907.213684,1086,0,1
2,UpdateCo2,1768056907.214778,70,0,1
1,UpdateCFP,1768056907.214850,1247,0,1
2,UpdateCo2,1768056907.216104,60,0,1
1,UpdateCFP,1768056907.216166,903,0,1
1,UpdateCFP,1768056907.217077,1086,0,1
2,UpdateCo2,1768056907.218171,67,0,1
1,UpdateCFP,1768056907.218242,1028,0,1
2,UpdateCo2,1768056907.219276,61,0,1
1,UpdateCFP,1768056907.219340,1069,0,1
1,UpdateCFP,1768056907.220415,946,0,1
1,UpdateCFP,1768056907.221368,939,0,1
1,UpdateCFP,1768056907.222313,813,0,1
2,UpdateCo2,1768056907.223133,65,0,1
1,UpdateCFP,1768056907.223201,876,0,1
1,UpdateCFP,1768056907.224083,802,0,1
2,UpdateCo2,1768056907.224891,60,0,1
2,UpdateCo2,1768056907.224956,63,0,1
2,UpdateCo2,1768056907.225020,59,0,1
1,UpdateCFP,1768056907.225082,914,0,1
2,UpdateCo2,1768056907.226002,63,0,1
2,UpdateCo2,1768056907.226068,62,0,1
2,UpdateCo2,1768056907.226132,58,0,1
2,UpdateCo2,1768056907.226193,68,0,1
1,UpdateCFP,1768056907.226265,1021,0,1
1,UpdateCFP,1768056907.227292,837,0,1
1,UpdateCFP,1768056907.228136,863,0,1
2,UpdateCo2,1768056907.229005,59,0,1
2,UpdateCo2,1768056907.229067,67,0,1
1,UpdateCFP,1768056907.229136,933,0,1
1,UpdateCFP,1768056907.230075,864,0,1
1,UpdateCFP,1768056907.230946,1011,0,1
1,UpdateCFP,1768056907.231964,1007,0,1
2,UpdateCo2,1768056907.232978,61,0,1
2,UpdateCo2,1768056907.233041,64,0,1
2,UpdateCo2,1768056907.233108,58,0,1
1,UpdateCFP,1768056907.233168,1012,0,1
2,UpdateCo2,1768056907.234206,78,0,1
2,UpdateCo2,1768056907.234288,65,0,1
1,UpdateCFP,1768056907.234355,818,0,1
2,UpdateCo2,1768056907.235183,68,0,1
1,UpdateCFP,1768056907.235261,1112,0,1
1,UpdateCFP,1768056907.236379,1049,0,1
1,UpdateCFP,1768056907.237435,901,0,1
2,UpdateCo2,1768056907.238343,59,0,1
1,UpdateCFP,1768056907.238404,932,0,1
2,UpdateCo2,1768056907.239341,64,0,1
2,UpdateCo2,1768056907.239408,58,0,1
1,UpdateCFP,1768056907.239468,859,0,1
2,UpdateCo2,1768056907.240333,64,0,1
1,UpdateCFP,1768056907.240399,1003,0,1
2,UpdateCo2,1768056907.241408,62,0,1
1,UpdateCFP,1768056907.241472,1020,0,1
1,UpdateCFP,1768056907.242498,936,0,1
2,UpdateCo2,1768056907.243441,64,0,1
1,UpdateCFP,1768056907.243508,1089,0,1
2,UpdateCo2,1768056907.244603,59,0,1
1,UpdateCFP,1768056907.244664,1122,0,1
1,UpdateCFP,1768056907.245792,1283,0,1
1,UpdateCFP,1768056907.247080,1164,0,1
2,UpdateCo2,1768056907.248250,81,0,1
1,UpdateCFP,1768056907.248334,1237,0,1
2,UpdateCo2,1768056907.249578,279,0,1
2,UpdateCo2,1768056907.249860,69,0,1
1,UpdateCFP,1768056907.249932,893,0,1
1,UpdateCFP,1768056907.250831,1087,0,1
1,UpdateCFP,1768056907.251924,1065,0,1
2,UpdateCo2,1768056907.252996,121,0,1
1,UpdateCFP,1768056907.253120,937,0,1
2,UpdateCo2,1768056907.254064,63,0,1
2,UpdateCo2,1768056907.254130,57,0,1
1,UpdateCFP,1768056907.254189,985,0,1
2,UpdateCo2,1768056907.255181,60,0,1
2,UpdateCo2,1768056907.255244,74,0,1
1,UpdateCFP,1768056907.255320,1020,0,1
